,address,bathrooms,country,detailedType,district,exterior,externalReference,floor,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
639,"calle de quevedo, 22",1,es,{u'typology': u'flat'},Alcobendas Centro,True,,bj,False,False,False,False,40.5426356,-3.6410564,Alcobendas,,False,,39,rent,,672.0,15.0,30845278,flat,Madrid,1,True,45.0,good,"{u'subtitle': u'Alcobendas Centro, Alcobendas', u'title': u'Piso en calle de quevedo, 22'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/96/34/234073274.jpg,http://www.idealista.com/30845278
640,barrio Adelfas,1,es,{u'typology': u'flat'},Retiro,False,ALI 090,2,False,True,False,False,40.3988921,-3.6708659,Madrid,Adelfas,False,,17,rent,,1150.0,12.0,38300465,flat,Madrid,2,False,98.0,good,"{u'subtitle': u'Adelfas, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/82/a8/bf/234072129.jpg,http://www.idealista.com/38300465
641,"calle de Santa María, 13",2,es,{u'typology': u'flat'},Ibiza - San Pedro,True,,bj,False,True,False,False,40.4893443,-3.9581596,Villanueva del Pardillo,,False,,11,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",900.0,9.0,38293370,flat,Madrid,2,True,95.0,good,"{u'subtitle': u'Ibiza - San Pedro, Villanueva del Pardillo', u'title': u'Piso en calle de Santa María, 13'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/6f/51/233946629.jpg,http://www.idealista.com/38293370
642,"calle albatros, 4 b",1,es,{u'typology': u'flat'},Carabanchel,True,2801-013057-01,1,False,True,False,False,40.3905635,-3.7409604,Madrid,Vista Alegre,False,,9,rent,,500.0,11.0,38300421,flat,Madrid,1,True,45.0,good,"{u'subtitle': u'Vista Alegre, Madrid', u'title': u'Piso en calle albatros, 4 b'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/60/81/234071273.jpg,http://www.idealista.com/38300421
643,calle potes s/n,1,es,{u'typology': u'flat'},Villaverde,True,2801-012168-02,9,False,True,False,False,40.3504053,-3.7105844,Madrid,San Andrés,False,,14,rent,,500.0,5.0,38300414,flat,Madrid,3,True,100.0,good,"{u'subtitle': u'San Andrés, Madrid', u'title': u'Piso en calle potes s/n'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/88/22/234071091.jpg,http://www.idealista.com/38300414
644,"calle de las nuevas avenidas, 3",1,es,{u'typology': u'flat'},Centro,True,2811-011187-02,,False,True,False,False,40.3192611,-3.8636656,Móstoles,,False,,18,rent,,550.0,6.0,38300410,flat,Madrid,3,True,90.0,good,"{u'subtitle': u'Centro, Móstoles', u'title': u'Piso en calle de las nuevas avenidas, 3'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/76/b1/234071010.jpg,http://www.idealista.com/38300410
645,"calle de cadalso de los vidrios, 12",1,es,{u'typology': u'flat'},Fuencarral,True,2807-009327-02,1,False,True,False,False,40.4810619,-3.7225019,Madrid,Peñagrande,False,,24,rent,,850.0,9.0,38300408,flat,Madrid,2,True,100.0,good,"{u'subtitle': u'Peñagrande, Madrid', u'title': u'Piso en calle de cadalso de los vidrios, 12'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/b4/f6/234070926.jpg,http://www.idealista.com/38300408
646,"paseo de la Florida, 10",2,es,{u'typology': u'flat'},Moncloa,True,,8,False,True,False,False,40.4225382,-3.7223443,Madrid,Casa de Campo,False,,27,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1400.0,16.0,38300365,flat,Madrid,2,True,86.0,good,"{u'subtitle': u'Casa de Campo, Madrid', u'title': u'Piso en paseo de la Florida, 10'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/72/b7/72/234070394.jpg,http://www.idealista.com/38300365
647,"avenida de buenos aires, 16",1,es,{u'typology': u'flat'},Puente de Vallecas,True,2803-003615-02,3,False,True,False,False,40.390193,-3.6535463,Madrid,Palomeras Bajas,False,,13,rent,,600.0,9.0,38300390,flat,Madrid,3,True,65.0,good,"{u'subtitle': u'Palomeras Bajas, Madrid', u'title': u'Piso en avenida de buenos aires, 16'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/1a/11/234070835.jpg,http://www.idealista.com/38300390
648,pont de Molins,1,es,{u'typology': u'flat'},Puente de Vallecas,True,TC15504,3,False,False,False,False,40.3941171,-3.6449707,Madrid,Portazgo,False,,20,rent,,650.0,13.0,38300237,flat,Madrid,2,False,50.0,good,"{u'subtitle': u'Portazgo, Madrid', u'title': u'Piso en pont de Molins'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f1/f5/e0/234068608.jpg,http://www.idealista.com/38300237
