,neighbourhood_group_cleansed,availability_30,is_location_exact,host_identity_verified,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,price,Price_Person_Night,room_type,security_deposit,cleaning_fee,number_of_reviews,cancellation_policy,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_value,extra_people,guests_included,accommodates,host_is_superhost,instant_bookable
8847,Carabanchel,1,t,t,1.0,2.0,4.0,5,60,85.208,42.604,Entire_home/apt,93.88789785,0.0,21,moderate,0.5,93.0,10.0,10.0,0.0,2,5,f,f
8848,Carabanchel,5,t,f,1.0,2.0,3.0,1,1125,85.208,85.208,Entire_home/apt,0.0,0.0,1,flexible,1.0,100.0,8.0,8.0,9.388789785,1,4,f,f
8849,Carabanchel,29,t,f,1.0,1.0,2.0,7,1125,29.8228,29.8228,Entire_home/apt,0.0,18.77757957,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
8850,Carabanchel,12,f,t,1.0,2.0,2.0,2,360,31.953,10.651,Entire_home/apt,140.831846775,18.77757957,22,moderate,1.35,77.0,9.0,7.0,9.388789785,3,4,f,t
8851,Carabanchel,30,t,t,1.0,1.0,1.0,1,365,31.953,31.953,Private room,0.0,0.0,5,flexible,0.21,95.0,10.0,10.0,9.388789785,1,2,f,f
8852,Carabanchel,30,t,f,2.0,1.0,1.0,2,1125,37.2785,37.2785,Private room,0.0,0.0,5,flexible,0.15,72.0,8.0,7.0,9.388789785,1,2,f,f
8853,Carabanchel,3,t,f,1.0,1.0,1.0,14,1125,62.8409,62.8409,Entire_home/apt,0.0,18.77757957,3,strict,0.76,93.0,9.0,10.0,0.0,1,2,f,f
8854,Carabanchel,11,f,t,1.0,1.0,2.0,1,30,21.302,21.302,Private room,140.831846775,4.6943948925,2,flexible,1.2,90.0,9.0,10.0,9.388789785,1,2,f,f
8855,Carabanchel,30,f,t,1.0,1.0,1.0,2,5,47.9295,47.9295,Private room,82.621350108,28.166369355,0,strict,0.0,0.0,0.0,0.0,0.0,1,2,t,f
8856,Carabanchel,30,f,f,1.0,0.0,1.0,1,1125,559.1775,559.1775,Entire_home/apt,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
8857,Carabanchel,12,f,t,2.0,1.0,1.0,2,31,37.2785,37.2785,Private room,93.88789785,14.0831846775,34,moderate,0.94,96.0,10.0,10.0,14.0831846775,1,2,f,f
8858,Carabanchel,7,t,t,1.0,1.0,2.0,2,30,51.1248,25.5624,Entire_home/apt,0.0,11.266547742,21,moderate,2.09,95.0,10.0,10.0,7.511031828,2,4,f,f
8859,Carabanchel,30,f,t,1.0,1.0,1.0,2,5,47.9295,47.9295,Private room,82.621350108,28.166369355,0,strict,0.0,0.0,0.0,0.0,0.0,1,2,t,f
8860,Carabanchel,6,t,t,1.0,1.0,2.0,3,1125,21.302,21.302,Private room,0.0,0.0,113,strict,2.15,80.0,8.0,8.0,0.0,1,2,f,t
8861,Carabanchel,18,t,f,1.0,1.0,1.0,2,1125,18.1067,18.1067,Private room,0.0,0.0,19,moderate,1.74,92.0,10.0,9.0,7.511031828,1,2,f,f
8862,Carabanchel,29,f,f,1.0,1.0,1.0,1,1125,26.6275,26.6275,Private room,0.0,9.388789785,3,flexible,0.47,100.0,10.0,10.0,0.0,1,1,f,t
8863,Carabanchel,7,f,t,1.0,1.0,1.0,1,1125,29.8228,29.8228,Private room,0.0,0.0,1,flexible,0.12,100.0,10.0,10.0,11.266547742,1,2,f,f
8864,Carabanchel,15,t,f,1.0,1.0,1.0,7,14,47.9295,47.9295,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
8865,Carabanchel,5,f,f,1.0,1.0,1.0,1,1125,15.9765,15.9765,Private room,0.0,0.0,9,flexible,0.76,91.0,9.0,10.0,6.5721528495,1,2,f,f
8866,Carabanchel,12,t,f,1.0,2.0,4.0,2,1125,74.557,37.2785,Entire_home/apt,187.7757957,0.0,3,strict,0.12,80.0,9.0,9.0,14.0831846775,2,7,f,f
8867,Carabanchel,16,f,f,1.0,1.0,1.0,2,15,58.5805,58.5805,Entire_home/apt,0.0,0.0,30,strict,3.91,93.0,10.0,9.0,0.0,1,2,f,f
8868,Carabanchel,30,t,f,1.5,3.0,4.0,7,1125,236.4522,236.4522,Entire_home/apt,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,6,f,t
8869,Carabanchel,6,t,f,1.0,1.0,1.0,1,3,18.1067,18.1067,Private room,0.0,0.0,18,flexible,2.2,82.0,8.0,9.0,9.388789785,1,2,f,f
8870,Carabanchel,2,t,t,1.0,1.0,1.0,20,60,17.0416,17.0416,Private room,0.0,0.0,4,moderate,0.21,70.0,7.0,7.0,14.0831846775,1,2,f,f
8871,Carabanchel,29,t,f,1.0,1.0,2.0,2,1125,79.8825,39.94125,Private room,187.7757957,0.0,0,strict,0.0,0.0,0.0,0.0,14.0831846775,2,7,f,f
8872,Carabanchel,1,t,f,2.0,2.0,5.0,3,1125,72.4268,18.1067,Entire_home/apt,187.7757957,14.0831846775,6,moderate,1.65,97.0,10.0,10.0,16.899821613,4,6,f,t
8873,Carabanchel,16,t,t,1.0,2.0,2.0,3,1125,90.5335,18.1067,Entire_home/apt,328.607642475,46.943948925,24,strict,1.34,95.0,10.0,10.0,0.0,5,4,f,t
8874,Carabanchel,14,t,t,2.0,1.0,1.0,1,1125,19.1718,19.1718,Private room,187.7757957,18.77757957,27,strict,0.59,98.0,10.0,10.0,37.55515914,1,2,f,f
8875,Carabanchel,30,f,f,1.5,1.0,1.0,2,1125,31.953,31.953,Private room,0.0,0.0,1,moderate,0.06,100.0,10.0,10.0,4.6943948925,1,1,f,f
8876,Carabanchel,26,f,t,1.0,1.0,1.0,1,31,26.6275,13.31375,Private room,0.0,9.388789785,0,flexible,0.0,0.0,0.0,0.0,9.388789785,2,2,f,f
8877,Carabanchel,14,t,f,1.0,1.0,2.0,2,1125,13.8463,13.8463,Private room,328.607642475,0.0,0,flexible,0.0,0.0,0.0,0.0,9.388789785,1,1,f,t
8878,Carabanchel,9,t,f,1.5,1.0,1.0,1,9,21.302,21.302,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,t
8879,Carabanchel,29,t,f,1.0,1.0,1.0,1,1125,26.6275,26.6275,Private room,0.0,9.388789785,0,flexible,0.0,0.0,0.0,0.0,0.0,1,1,f,f
